Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
536,2024,"Leonardo Pavanatto, Feiyu Lu, Chris North, Doug A. Bowman",Multiple Monitors or Single Canvas? Evaluating Window Management and Layout Strategies on Virtual Displays,"@article{pavanatto2024multiple,
  title = {Multiple {{Monitors}} or {{Single Canvas}}? {{Evaluating Window Management}} and {{Layout Strategies}} on {{Virtual Displays}}},
  shorttitle = {Multiple {{Monitors}} or {{Single Canvas}}?},
  author = {Pavanatto, Leonardo and Lu, Feiyu and North, Chris and Bowman, Doug A.},
  year = {2024},
  journal = {IEEE Transactions on Visualization and Computer Graphics},
  pages = {1--15},
  issn = {1077-2626, 1941-0506, 2160-9306},
  doi = {10.1109/TVCG.2024.3368930},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}",10.1109/TVCG.2024.3368930,x,,,,,,,,,,,,x,,,,,,,,,x,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
537,2021,"Leonardo Pavanatto, Chris North, Doug A. Bowman, Carmen Badea, Richard Stoakley",Do we still need physical monitors? An evaluation of the usability of AR virtual monitors for productivity work,"@inproceedings{pavanatto2021we,
  title = {Do We Still Need Physical Monitors? {{An}} Evaluation of the Usability of {{AR}} Virtual Monitors for Productivity Work},
  shorttitle = {Do We Still Need Physical Monitors?},
  booktitle = {2021 {{IEEE Virtual Reality}} and {{3D User Interfaces}} ({{VR}})},
  author = {Pavanatto, Leonardo and North, Chris and Bowman, Doug A. and Badea, Carmen and Stoakley, Richard},
  year = {2021},
  month = mar,
  pages = {759--767},
  publisher = {IEEE},
  address = {Lisboa, Portugal},
  doi = {10.1109/VR50410.2021.00103},
  isbn = {978-1-66541-838-6}
}",10.1109/VR50410.2021.00103,x,,,,,,,,,,,,x,,,,,,,,,x,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
539,2018,"Rahul Arora, Habib Rubaiat Kazi, Tovi Grossman, George Fitzmaurice, Karan Singh",SymbiosisSketch: Combining 2D & 3D Sketching for Designing Detailed 3D Objects in Situ,"@inproceedings{arora2018symbiosissketch,
  title = {{{SymbiosisSketch}}: {{Combining 2D}} \& {{3D Sketching}} for {{Designing Detailed 3D Objects}} in {{Situ}}},
  shorttitle = {{{SymbiosisSketch}}},
  booktitle = {Proceedings of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Arora, Rahul and Habib Kazi, Rubaiat and Grossman, Tovi and Fitzmaurice, George and Singh, Karan},
  year = {2018},
  month = apr,
  series = {{{CHI}} '18},
  pages = {1--15},
  publisher = {Association for Computing Machinery},
  address = {Montreal QC, Canada},
  doi = {10.1145/3173574.3173759},
  abstract = {We present SymbiosisSketch, a hybrid sketching system that combines drawing in air (3D) and on a drawing surface (2D) to create detailed 3D designs of arbitrary scale in an augmented reality (AR) setting. SymbiosisSketch leverages the complementary affordances of 3D (immersive, unconstrained, life-sized) and 2D (precise, constrained, ergonomic) interactions for in situ 3D conceptual design. A defining aspect of our system is the ongoing creation of surfaces from unorganized collections of 3D curves. These surfaces serve a dual purpose: as 3D canvases to map strokes drawn on a 2D tablet, and as shape proxies to occlude the physical environment and hidden curves in a 3D sketch. SymbiosisSketch users draw interchangeably on a 2D tablet or in 3D within an ergonomically comfortable canonical volume, mapped to arbitrary scale in AR. Our evaluation study shows this hybrid technique to be easy to use in situ and effective in transcending the creative potential of either traditional sketching or drawing in air.},
  isbn = {978-1-4503-5620-6}
}",10.1145/3173574.3173759,x,,,,,,,,,,x,,,,,,x,,,,,,x,,x,x,x,x,,,,x,,,x,,,,x,,x,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
540,2019,"Christopher Berns, Grace Chin, Joel Savitz, Jason Kiesling, Fred Martin",MYR: A Web-Based Platform for Teaching Coding Using VR,"@inproceedings{berns2019myr,
  title = {{{MYR}}: {{A Web-Based Platform}} for {{Teaching Coding Using VR}}},
  shorttitle = {{{MYR}}},
  booktitle = {Proceedings of the 50th {{ACM Technical Symposium}} on {{Computer Science Education}}},
  author = {Berns, Christopher and Chin, Grace and Savitz, Joel and Kiesling, Jason and Martin, Fred},
  year = {2019},
  month = feb,
  series = {{{SIGCSE}} '19},
  pages = {77--83},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3287324.3287482},
  abstract = {MYR is a browser-based, educational platform built to spark student interest in computer science by allowing users to write code that generates three-dimensional, animated scenes in virtual reality. The interface consists of two primary components: (1) an integrated editor, which leverages the MYR API and the A-Frame entity-component-system, and (2) a real-time renderer that displays the corresponding scene. The scenes, which vary in complexity, are viewable using virtual reality headsets, smartphones, and any device that supports a web browser. By providing access to the specific domain of virtual reality to students, the system aims to make computer science concepts tangible for novice programmers. The MYR development team conducted pilot tests with middle school students in order to collect feedback from this audience. The larger goal of the project is to develop MYR as a research tool to gain insight into computing students' success, motivation, and confidence in learning computing.},
  isbn = {978-1-4503-5890-3}
}",10.1145/3287324.3287482,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,x,,x,,,,x,,,,x,,,,x,x,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,
542,2020,"Tobias Drey, Jan Gugenheimer, Julian Karlbauer, Maximilian Milo, Enrico Rukzio",VRSketchIn: Exploring the Design Space of Pen and Tablet Interaction for 3D Sketching in Virtual Reality,"@inproceedings{drey2020vrsketchin,
  title = {{{VRSketchIn}}: {{Exploring}} the {{Design Space}} of {{Pen}} and {{Tablet Interaction}} for {{3D Sketching}} in {{Virtual Reality}}},
  shorttitle = {{{VRSketchIn}}},
  booktitle = {Proceedings of the 2020 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Drey, Tobias and Gugenheimer, Jan and Karlbauer, Julian and Milo, Maximilian and Rukzio, Enrico},
  year = {2020},
  month = apr,
  series = {{{CHI}} '20},
  pages = {1--14},
  publisher = {Association for Computing Machinery},
  address = {Honolulu, HI, USA},
  doi = {10.1145/3313831.3376628},
  abstract = {Sketching in virtual reality (VR) enhances perception and understanding of 3D volumes, but is currently a challenging task, as spatial input devices (e.g., tracked controllers) do not provide any scaffolding or constraints for mid-air interaction. We present VRSketchIn, a VR sketching application using a 6DoF-tracked pen and a 6DoF-tracked tablet as input devices, combining unconstrained 3D mid-air with constrained 2D surface-based sketching. To explore what possibilities arise from this combination of 2D (pen on tablet) and 3D input (6DoF pen), we present a set of design dimensions and define the design space for 2D and 3D sketching interaction metaphors in VR. We categorize prior art inside our design space and implemented a subset of metaphors for pen and tablet sketching in our prototype. To gain a deeper understanding which specific sketching operations users perform with 2D and which with 3D metaphors, we present findings of usability walkthroughs with six participants.},
  isbn = {978-1-4503-6708-0}
}",10.1145/3313831.3376628,,,,,,,,x,,,x,,,,,,x,,x,,,,x,,x,x,,x,,,,x,,,,x,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,x,,,,,,,,,-,,,,x,,,x,,,x
544,2024,"Nuno Estalagem, Augusto Esteves",Between Wearable and Spatial Computing: Exploring Four Interaction Techniques at the Intersection of Smartwatches and Head-mounted Displays,"@inproceedings{estalagem2024wearable,
  title = {Between {{Wearable}} and {{Spatial Computing}}: {{Exploring Four Interaction Techniques}} at the {{Intersection}} of {{Smartwatches}} and {{Head-mounted Displays}}},
  shorttitle = {Between {{Wearable}} and {{Spatial Computing}}},
  booktitle = {Proceedings of the 2024 {{Symposium}} on {{Eye Tracking Research}} and {{Applications}}},
  author = {Estalagem, Nuno and Esteves, Augusto},
  year = {2024},
  month = jun,
  pages = {1--7},
  publisher = {ACM},
  address = {Glasgow United Kingdom},
  doi = {10.1145/3649902.3656365},
  isbn = {9798400706073},
  langid = {english}
}",10.1145/3649902.3656365,,x,,,,,,,x,,,,,,,,,,x,,,,x,,x,x,,x,,,x,,,,,x,,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,
545,2023,"Judith Friedl-Knirsch, Christian Stach, Christoph Anthes",Exploring Collaboration for Data Analysis in Augmented Reality for Multiple Devices,"@inproceedings{friedl-knirsch2023exploring,
  title = {Exploring {{Collaboration}} for {{Data Analysis}} in {{Augmented Reality}} for {{Multiple Devices}}},
  booktitle = {2023 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality Adjunct}} ({{ISMAR-Adjunct}})},
  author = {{Friedl-Knirsch}, Judith and Stach, Christian and Anthes, Christoph},
  year = {2023},
  month = oct,
  pages = {65--69},
  publisher = {IEEE},
  address = {Sydney, Australia},
  doi = {10.1109/ISMAR-Adjunct60411.2023.00021},
  isbn = {9798350328912}
}",10.1109/ISMAR-Adjunct60411.2023.00021,x,x,,x,,,,,,,,x,,,,,x,,,,,,,,x,x,,,,x,,,x,,,x,,,,x,x,,,,x,,,x,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,-,,,,,,,,,x,,,
547,2018,"Chi-Jung Lee, Hung-Kuo Chu",Dual-MR: interaction with mixed reality using smartphones,"@inproceedings{lee2018dualmr,
  title = {Dual-{{MR}}: Interaction with Mixed Reality Using Smartphones},
  shorttitle = {Dual-{{MR}}},
  booktitle = {Proceedings of the 24th {{ACM Symposium}} on {{Virtual Reality Software}} and {{Technology}}},
  author = {Lee, Chi-Jung and Chu, Hung-Kuo},
  year = {2018},
  month = nov,
  series = {{{VRST}} '18},
  pages = {1--2},
  publisher = {Association for Computing Machinery},
  address = {Tokyo, Japan},
  doi = {10.1145/3281505.3281618},
  abstract = {Mixed reality (MR) has changed the perspective we see and interact with our world. While the current-generation of MR head-mounted devices (HMDs) are capable of generating high quality visual contents, interation in most MR applications typically relies on in-air hand gestures, gaze, or voice. These interfaces although are intuitive to learn, may easily lead to inaccurate operations due to fatigue or constrained by the environment. In this work, we present Dual-MR, a novel MR interation system that i) synchronizes the MR viewpoints of HMD and handheld smartphone, and ii) enables precise, tactile, immersive and user-friendly object-level manipulations throught the multi-touch input of smartphone. In addition, Dual-MR allows multiple users to join the same MR coordinate system to facilite the collaborate in the same physical space, which further broadens its usability. A preliminary user study shows that our system easily overwhelms the conventional interface, which combines in-air hand gesture and gaze, in the completion time for a series of 3D object manipulation tasks in MR.},
  isbn = {978-1-4503-6086-9}
}",10.1145/3281505.3281618,x,,x,,,,,,,,,,,,,,x,,,,,,,,x,x,,x,,x,,,x,,,x,,,,x,x,,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,x
548,2022,"Gary Perelman, Emmanuel Dubois, Alice Probst, Marcos Serrano",Visual transitions around tabletops in mixed reality: study on a visual acquisition task between vertical virtual displays and horizontal tabletops,"@article{perelman2022visual,
  title = {Visual Transitions around Tabletops in Mixed Reality: Study on a Visual Acquisition Task between Vertical Virtual Displays and Horizontal Tabletops},
  shorttitle = {Visual Transitions around Tabletops in Mixed Reality},
  author = {Perelman, Gary and Dubois, Emmanuel and Probst, Alice and Serrano, Marcos},
  year = {2022},
  month = nov,
  journal = {Proceedings of the ACM on Human-Computer Interaction},
  volume = {6},
  number = {ISS},
  pages = {660--679},
  issn = {2573-0142},
  doi = {10.1145/3567738},
  abstract = {See-through Head-Mounted Displays (HMDs) offer interesting opportunities to augment the interaction space around screens, especially around horizontal tabletops. In such context, HMDs can display surrounding vertical virtual windows to complement the tabletop content with data displayed in close vicinity. However, the effects of such combination on the visual acquisition of targets in the resulting combined display space have scarcely been explored. In this paper we conduct a study to explore visual acquisitions in such contexts, with a specific focus on the analysis of visual transitions between the horizontal tabletop display and the vertical virtual displays (in front and on the side of the tabletop). To further study the possible visual perception of the tabletop content out of the HMD and its impact on visual interaction, we distinguished two solutions for displaying information on the horizontal tabletop: using the see-through HMD to display virtual content over the tabletop surface (virtual overlay), i.e. the content is only visible inside the HMD's FoV, or using the tabletop itself (tabletop screen). 12 participants performed visual acquisition tasks involving the horizontal and vertical displays. We measured the time to perform the task, the head movements, the portions of the displays visible in the HMD's field of view, the physical fatigue and the user's preference. Our results show that it is faster to acquire virtual targets in the front display than on the side. Results reveal that the use of the virtual overlay on the tabletop slows down the visual acquisition compared to the use of the tabletop screen, showing that users exploit the visual perception of the tabletop content on the peripheral visual space. We were also able to quantify when and to which extent targets on the tabletop can be acquired without being visible within the HMD's field of view when using the tabletop screen, i.e. by looking under the HMD. These results lead to design recommendations for more efficient, comfortable and integrated interfaces combining tabletop and surrounding vertical virtual displays.},
  langid = {english}
}",10.1145/3567738,x,,,,,,,,,,,,,,,x,,,,,,x,,,x,x,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,-,,,,,,,x,,,
549,2022,"Carole Plasson, Renaud Blanch, Laurence Nigay",Selection Techniques for 3D Extended Desktop Workstation with AR HMD,"@inproceedings{plasson2022selection,
  title = {Selection {{Techniques}} for {{3D Extended Desktop Workstation}} with {{AR HMD}}},
  booktitle = {2022 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality}} ({{ISMAR}})},
  author = {Plasson, Carole and Blanch, Renaud and Nigay, Laurence},
  year = {2022},
  month = oct,
  pages = {460--469},
  publisher = {IEEE},
  address = {Singapore, Singapore},
  doi = {10.1109/ISMAR55827.2022.00062},
  copyright = {https://doi.org/10.15223/policy-029},
  isbn = {978-1-66545-325-7}
}",10.1109/ISMAR55827.2022.00062,x,,,,,,,,,,,,x,,,,,,,,x,,x,,x,,,x,,,,x,,,,,x,,x,,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,
551,2022,"Mickael Sereno, Stéphane Gosset, Lonni Besançon, Tobias Isenberg",Hybrid Touch/Tangible Spatial Selection in Augmented Reality,"@article{sereno2022hybrid,
  title = {Hybrid {{Touch}}/{{Tangible Spatial Selection}} in {{Augmented Reality}}},
  author = {Sereno, Mickael and Gosset, St{\'e}phane and Besan{\c c}on, Lonni and Isenberg, Tobias},
  year = {2022},
  month = jun,
  journal = {Computer Graphics Forum},
  volume = {41},
  number = {3},
  pages = {403},
  doi = {10.1111/cgf.14550},
  abstract = {We study tangible touch tablets combined with Augmented Reality Head-Mounted Displays (AR-HMDs) to perform spatial 3D selections. We are primarily interested in the exploration of 3D unstructured datasets such as cloud points or volumetric datasets. AR-HMDs immerse users by showing datasets stereoscopically, and tablets provide a set of 2D exploration tools. Because AR-HMDs merge the visualization, interaction, and the users' physical spaces, users can also use the tablets as tangible objects in their 3D space. Nonetheless, the tablets' touch displays provide their own visualization and interaction spaces, separated from those of the AR-HMD. This raises several research questions compared to traditional setups. In this paper, we theorize, discuss, and study different available mappings for manual spatial selections using a tangible tablet within an AR-HMD space. We then study the use of this tablet within a 3D AR environment, compared to its use with a 2D external screen.},
  langid = {english}
}",10.1111/cgf.14550,x,,,,,,,,,,x,,,,,,,x,,,,,x,,x,x,,x,,,,x,,,,x,,,,x,x,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,-,,,,,,x,,,x,,,
552,2015,"Marcos Serrano, Barrett Ens, Xing-Dong Yang, Pourang Irani",Gluey: Developing a Head-Worn Display Interface to Unify the Interaction Experience in Distributed Display Environments,"@inproceedings{serrano2015gluey,
  title = {Gluey: {{Developing}} a {{Head-Worn Display Interface}} to {{Unify}} the {{Interaction Experience}} in {{Distributed Display Environments}}},
  shorttitle = {Gluey},
  booktitle = {Proceedings of the 17th {{International Conference}} on {{Human-Computer Interaction}} with {{Mobile Devices}} and {{Services}}},
  author = {Serrano, Marcos and Ens, Barrett and Yang, Xing-Dong and Irani, Pourang},
  year = {2015},
  month = aug,
  series = {{{MobileHCI}} '15},
  pages = {161--171},
  publisher = {Association for Computing Machinery},
  address = {Copenhagen, Denmark},
  doi = {10.1145/2785830.2785838},
  abstract = {Distributed display environments (DDEs) allow use of various specialized devices but challenge designers to provide a clean flow of data across multiple displays. Upcoming consumer-ready head-worn displays (HWDs) can play a central role in unifying the interaction experience in such ecosystems. In this paper, we report on the design and development of Gluey, a user interface that acts as a 'glue' to facilitate seamless input transitions and data movement across displays. Based on requirements we refine for such an interface, Gluey leverages inherent headworn display attributes such as field-of-view tracking and an always-available canvas to redirect input and migrate content across multiple displays, while minimizing device switching costs. We implemented a functional prototype integrating Gluey's numerous interaction possibilities. From our experience in this integration and from user evaluation results, we identify the open challenges in using HWDs to unify the interaction experience in DDEs.},
  isbn = {978-1-4503-3652-9}
}",10.1145/2785830.2785838,x,,,,,,,,,x,x,x,x,,x,,,,,,,,,x,x,,,x,,,,x,x,,,x,,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,,
563,1997,"Ryugo Kijima, Takeo Ojika",Transition between virtual environment and workstation environment with projective head mounted display,"@inproceedings{kijima1997transition,
  title = {Transition between Virtual Environment and Workstation Environment with Projective Head Mounted Display},
  booktitle = {Proceedings of {{IEEE}} 1997 {{Annual International Symposium}} on {{Virtual Reality}}},
  author = {Kijima, R. and Ojika, T.},
  year = {1997},
  pages = {130--137},
  publisher = {IEEE Comput. Soc. Press},
  address = {Albuquerque, NM, USA},
  doi = {10.1109/VRAIS.1997.583062},
  isbn = {978-0-8186-7843-1}
}",10.1109/VRAIS.1997.583062,x,,,,,,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,,,,x,,,x,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,
564,2023,"David Aigner, Nanjia Wang, David Kielmayer, Jürgen Steiner, Julian Hochpöchler, Christoph Heinzl, Daniel Roth, Frank Maurer, Christoph Anthes",Cardiac Visualisation Along the RV-Continuum - A High-Fidelity Pilot Study,"@inproceedings{aigner2023cardiac,
  title = {Cardiac {{Visualisation Along}} the {{RV-Continuum}} - {{A High-Fidelity Pilot Study}}},
  booktitle = {2023 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality Adjunct}} ({{ISMAR-Adjunct}})},
  author = {Aigner, David and Wang, Nanjia and Kielmayer, David and Steiner, J{\""u}rgen and Hochp{\""o}chler, Julian and Heinzl, Christoph and Roth, Daniel and Maurer, Frank and Anthes, Christoph},
  year = {2023},
  month = oct,
  pages = {675--680},
  issn = {2771-1110},
  doi = {10.1109/ISMAR-Adjunct60411.2023.00145},
  abstract = {The different stages along the Reality-Virtuality Continuum (RVC) come with individual challenges and benefits for visualisation. While visualisation at these stages has been explored extensively over the past decades, a combination including all stages is yet to be investigated. In this publication we introduce an early prototype from the area of cardiac surgery planning connecting the different RVC stages and allowing the user to move between real, augmented and virtual environment within a single application. An overview of the implemented concepts and the functionality is presented and a pilot study gathering data about the potential use of such a system for operation planning was executed.}
}",10.1109/ISMAR-Adjunct60411.2023.00145,,x,,,,,,,,,,,,,x,,,,,,,,,x,x,x,,x,,,,x,,,,x,,,x,,x,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,-,,,,,,,x,,,,,,
565,2022,"Katja Krug, Wolfgang Büschel, Konstantin Klamka, Raimund Dachselt",CleAR Sight: Exploring the Potential of Interacting with Transparent Tablets in Augmented Reality,"@inproceedings{krug2022clear,
  title = {{{CleAR Sight}}: {{Exploring}} the {{Potential}} of {{Interacting}} with {{Transparent Tablets}} in {{Augmented Reality}}},
  shorttitle = {{{CleAR Sight}}},
  booktitle = {2022 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality}} ({{ISMAR}})},
  author = {Krug, Katja and B{\""u}schel, Wolfgang and Klamka, Konstantin and Dachselt, Raimund},
  year = {2022},
  month = oct,
  pages = {196--205},
  issn = {1554-7868},
  doi = {10.1109/ISMAR55827.2022.00034},
  abstract = {In this paper, we examine the potential of incorporating transparent, handheld devices into head-mounted Augmented Reality (AR). Additional mobile devices have long been successfully used in head-mounted AR, but they obscure the visual context and real world objects during interaction. Transparent tangible displays can address this problem, using either transparent OLED screens or rendering by the head-mounted display itself. However, so far, there is no systematic analysis of the use of such transparent tablets in combination with AR head-mounted displays (HMDs), with respect to their benefits and arising challenges. We address this gap by introducing a research platform based on a touch-enabled, transparent interaction panel, for which we present our custom hardware design and software stack in detail. Furthermore, we developed a series of interaction concepts for this platform and demonstrate them in the context of three use case scenarios: the exploration of 3D volumetric data, collaborative visual data analysis, and the control of smart home appliances. We validate the feasibility of our concepts with interactive prototypes that we used to elicit feedback from HCI experts. As a result, we contribute to a better understanding of how transparent tablets can be integrated into future AR environments.}
}",10.1109/ISMAR55827.2022.00034,x,,,,,,,,,,x,,,,,,x,,,x,,,x,,x,,,x,x,,,x,x,,,,x,,,x,x,,,x,,,,x,,,,,,,,x,,x,,,,,,,,x,,,x,,,,,,,,,,,,,,x,,x,,,x
566,2023,"Daekun Kim, Nikhita Joshi, Daniel Vogel",Perspective and Geometry Approaches to Mouse Cursor Control in Spatial Augmented Reality,"@inproceedings{kim2023perspective,
  title = {Perspective and {{Geometry Approaches}} to {{Mouse Cursor Control}} in {{Spatial Augmented Reality}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Kim, Daekun and Joshi, Nikhita and Vogel, Daniel},
  year = {2023},
  month = apr,
  series = {{{CHI}} '23},
  pages = {1--19},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3580849},
  abstract = {Spatial augmented reality (SAR) can extend desktop computing out of the monitor and into our surroundings, but extending the standard style of mouse input is challenging due to real-world geometry irregularity, gaps, and occlusion. We identify two general approaches for controlling a mouse cursor in SAR: perspective-based approaches based on raycasting, such as Nacenta et. al's Perspective Cursor, and geometry-based approaches that closely associate cursor movement with surface topology. For the latter, we introduce Everywhere Cursor, a geometry-based approach for indirect mouse cursor control for complex 3D surface geometry in SAR. A controlled experiment compares approaches. Results show the geometry-based Everywhere Cursor improves accuracy and precision by 29\% to 60\% on average in a tracing task, but when traversing long distances, the perspective-based Perspective Cursor and Raycasting techniques are 22\% to 49\% faster, albeit with 4\% to 10\% higher error rates.},
  isbn = {978-1-4503-9421-5}
}",10.1145/3544548.3580849,,,,,x,,,,,,,,x,,,,,,,x,,x,,,x,,,x,,,,,x,,,,x,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,-,,,,,,,x,,,,,
567,2018,"Simon Butscher, Sebastian Hubenschmid, Jens Müller, Johannes Fuchs, Harald Reiterer","Clusters, Trends, and Outliers: How Immersive Technologies Can Facilitate the Collaborative Analysis of Multidimensional Data","@inproceedings{butscher2018clusters,
  title = {Clusters, {{Trends}}, and {{Outliers}}: {{How Immersive Technologies Can Facilitate}} the {{Collaborative Analysis}} of {{Multidimensional Data}}},
  booktitle = {Proceedings of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}} - {{CHI}} '18},
  author = {Butscher, Simon and Hubenschmid, Sebastian and M{\""u}ller, Jens and Fuchs, Johannes and Reiterer, Harald},
  year = {2018},
  pages = {1--12},
  publisher = {ACM Press},
  address = {New York},
  issn = {03276139 (ISSN)},
  doi = {10.1145/3173574.3173664},
  abstract = {Immersive technologies such as augmented reality devices are opening up a new design space for the visual analysis of data. This paper studies the potential of an augmented reality environment for the purpose of collaborative analysis of multi- dimensional, abstract data. We present ART, a collaborative analysis tool to visualize multidimensional data in augmented reality using an interactive, 3D parallel coordinates visual- ization. The visualization is anchored to a touch-sensitive tabletop, benefiting from well-established interaction tech- niques. The results of group-based expert walkthroughs show that ART can facilitate immersion in the data, a fluid analysis process, and collaboration. Based on the results, we provide a set of guidelines and discuss future research areas to foster the development of immersive technologies as tools for the collaborative analysis of multidimensional data.},
  isbn = {978-1-4503-5620-6}
}",10.1145/3173574.3173664,,x,,,,,,,,,,,,,,x,x,,,,x,,x,,x,x,,,x,,,,x,,,,x,,,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,
568,2021,"Weizhou Luo, Eva Goebel, Patrick Reipschläger, Mats Ellenberg Ole, Raimund Dachselt",Exploring and Slicing Volumetric Medical Data in Augmented Reality Using a Spatially-Aware Mobile Device,"@inproceedings{luo2021exploringa,
  title = {Exploring and {{Slicing Volumetric Medical Data}} in {{Augmented Reality Using}} a {{Spatially-Aware Mobile Device}}},
  booktitle = {2021 {{IEEE International Symposium}} on {{Mixed}} and {{Augmented Reality Adjunct}} ({{ISMAR-Adjunct}})},
  author = {Luo, Weizhou and Goebel, Eva and Reipschl{\""a}ger, Patrick and Ellenberg, Mats Ole and Dachselt, Raimund},
  year = {2021},
  month = oct,
  pages = {334--339},
  doi = {10.1109/ISMAR-Adjunct54149.2021.00076},
  abstract = {We present a concept and early prototype for exploring volumetric medical data, e.g., from MRI or CT scans, in head-mounted Augmented Reality (AR) with a spatially tracked tablet. Our goal is to address the lack of immersion and intuitive input of conventional systems by providing spatial navigation to extract arbitrary slices from volumetric data directly in three-dimensional space. A 3D model of the medical data is displayed in the real environment, fixed to a particular location, using AR. The tablet is spatially moved through this virtual 3D model and shows the resulting slices as 2D images. We present several techniques that facilitate this overall concept, e.g., to place and explore the model, as well as to capture, annotate, and compare slices of the data. Furthermore, we implemented a proof-of-concept prototype that demonstrates the feasibility of our concepts. With our work we want to improve the current way of working with volumetric data slices in the medical domain and beyond.}
}",10.1109/ISMAR-Adjunct54149.2021.00076,x,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,x,,,,x,,,,,x,,,x,x,,,x,,,,,x,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,-,,,,,,,,,x,
